timestamp,barcode,weight_g,index,filename,rel_path_raw,rel_path_seg,rel_path_segmask,species_dir,individual_dir,species,species_label,life_stage,genus
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,4,Aporrectodea_tuberculata_Adult_74_4.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_4/Aporrectodea_tuberculata_Adult_74_4_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_4/Aporrectodea_tuberculata_Adult_74_4_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_4/Aporrectodea_tuberculata_Adult_74_4_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_4,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,3,Aporrectodea_tuberculata_Adult_74_3.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_3/Aporrectodea_tuberculata_Adult_74_3_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_3/Aporrectodea_tuberculata_Adult_74_3_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_3/Aporrectodea_tuberculata_Adult_74_3_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_3,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,1,Aporrectodea_tuberculata_Adult_74_1.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_1/Aporrectodea_tuberculata_Adult_74_1_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_1/Aporrectodea_tuberculata_Adult_74_1_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_1/Aporrectodea_tuberculata_Adult_74_1_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_1,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,6,Aporrectodea_tuberculata_Adult_74_6.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_6/Aporrectodea_tuberculata_Adult_74_6_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_6/Aporrectodea_tuberculata_Adult_74_6_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_6/Aporrectodea_tuberculata_Adult_74_6_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_6,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,2,Aporrectodea_tuberculata_Adult_74_2.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_2/Aporrectodea_tuberculata_Adult_74_2_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_2/Aporrectodea_tuberculata_Adult_74_2_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_2/Aporrectodea_tuberculata_Adult_74_2_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_2,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-10-10T09:44:21,Aporrectodea_tuberculata_Adult_74,1.104,5,Aporrectodea_tuberculata_Adult_74_5.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_5/Aporrectodea_tuberculata_Adult_74_5_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_5/Aporrectodea_tuberculata_Adult_74_5_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_74/Aporrectodea_tuberculata_Adult_74_5/Aporrectodea_tuberculata_Adult_74_5_seg_mask.png,Aporrectodea_tuberculata_Adult_74,Aporrectodea_tuberculata_Adult_74_5,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-09-02T17:11:26,Aporrectodea_tuberculata_Adult_03,1.05,1,Aporrectodea_tuberculata_Adult_03_1.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_1/Aporrectodea_tuberculata_Adult_03_1_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_1/Aporrectodea_tuberculata_Adult_03_1_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_1/Aporrectodea_tuberculata_Adult_03_1_seg_mask.png,Aporrectodea_tuberculata_Adult_03,Aporrectodea_tuberculata_Adult_03_1,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-09-02T17:11:26,Aporrectodea_tuberculata_Adult_03,1.05,6,Aporrectodea_tuberculata_Adult_03_6.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_6/Aporrectodea_tuberculata_Adult_03_6_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_6/Aporrectodea_tuberculata_Adult_03_6_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_6/Aporrectodea_tuberculata_Adult_03_6_seg_mask.png,Aporrectodea_tuberculata_Adult_03,Aporrectodea_tuberculata_Adult_03_6,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-09-02T17:11:26,Aporrectodea_tuberculata_Adult_03,1.05,2,Aporrectodea_tuberculata_Adult_03_2.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_2/Aporrectodea_tuberculata_Adult_03_2_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_2/Aporrectodea_tuberculata_Adult_03_2_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_2/Aporrectodea_tuberculata_Adult_03_2_seg_mask.png,Aporrectodea_tuberculata_Adult_03,Aporrectodea_tuberculata_Adult_03_2,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
2025-09-02T17:11:26,Aporrectodea_tuberculata_Adult_03,1.05,5,Aporrectodea_tuberculata_Adult_03_5.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_5/Aporrectodea_tuberculata_Adult_03_5_raw.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_5/Aporrectodea_tuberculata_Adult_03_5_seg.jpg,01_Segmented/Aporrectodea_tuberculata_Adult_03/Aporrectodea_tuberculata_Adult_03_5/Aporrectodea_tuberculata_Adult_03_5_seg_mask.png,Aporrectodea_tuberculata_Adult_03,Aporrectodea_tuberculata_Adult_03_5,Aporrectodea_tuberculata_Adult,Aporrectodea_tuberculata,Adult,Aporrectodea
